year,tmID,team_avg_player_rating
1,CHA,314.5
1,CLE,315.2692307692308
1,DET,326.7307692307692
1,HOU,379.75
1,IND,279.8333333333333
1,LAS,434.72727272727275
1,MIA,279.2692307692308
1,MIN,301.5769230769231
1,NYL,310.88461538461536
1,ORL,318.34615384615387
1,PHO,297.39285714285717
1,POR,330.1666666666667
1,SAC,396.7083333333333
1,SEA,242.42857142857142
1,UTA,320.0
1,WAS,319.5
2,CHA,325.125
2,CLE,265.76666666666665
2,DET,322.9583333333333
2,HOU,364.6363636363636
2,IND,309.0
2,LAS,440.45454545454544
2,MIA,340.125
2,MIN,288.7083333333333
2,NYL,278.56666666666666
2,ORL,346.1666666666667
2,PHO,229.38888888888889
2,POR,305.7307692307692
2,SAC,354.84615384615387
2,SEA,294.15384615384613
2,UTA,357.9166666666667
2,WAS,278.42857142857144
3,CHA,307.46153846153845
3,CLE,302.15384615384613
3,DET,269.73333333333335
3,HOU,291.2857142857143
3,IND,309.5769230769231
3,LAS,369.11538461538464
3,MIA,263.53333333333336
3,MIN,263.0416666666667
3,NYL,362.54545454545456
3,ORL,300.2857142857143
3,PHO,258.7
3,POR,316.9230769230769
3,SAC,294.92857142857144
3,SEA,290.6
3,UTA,346.61538461538464
3,WAS,295.2857142857143
4,CHA,385.3636363636364
4,CLE,386.1363636363636
4,CON,417.54545454545456
4,DET,372.8076923076923
4,HOU,354.7083333333333
4,IND,347.88461538461536
4,LAS,324.9
4,MIN,351.72727272727275
4,NYL,359.5416666666667
4,PHO,198.45238095238096
4,SAC,418.8181818181818
4,SAS,382.54545454545456
4,SEA,326.35714285714283
4,WAS,317.0
5,CHA,274.2857142857143
5,CON,416.72727272727275
5,DET,315.06666666666666
5,HOU,316.96153846153845
5,IND,371.2916666666667
5,LAS,373.3076923076923
5,MIN,305.75
5,NYL,353.5416666666667
5,PHO,310.89285714285717
5,SAC,376.4583333333333
5,SAS,279.43333333333334
5,SEA,391.9166666666667
5,WAS,369.9583333333333
6,CHA,252.71875
6,CON,394.4583333333333
6,DET,293.4
6,HOU,304.4642857142857
6,IND,360.4583333333333
6,LAS,319.5357142857143
6,MIN,255.13333333333333
6,NYL,283.0
6,PHO,305.3666666666667
6,SAC,362.7916666666667
6,SAS,271.4583333333333
6,SEA,353.0
6,WAS,325.88461538461536
7,CHA,394.625
7,CHI,296.03333333333336
7,CON,372.85714285714283
7,DET,373.15384615384613
7,HOU,337.0769230769231
7,IND,389.7916666666667
7,LAS,360.0
7,MIN,378.54545454545456
7,NYL,308.25
7,PHO,339.75
7,SAC,395.15
7,SAS,388.9
7,SEA,339.57142857142856
7,WAS,419.4166666666667
8,CHI,345.75
8,CON,396.88461538461536
8,DET,329.42857142857144
8,HOU,307.76666666666665
8,IND,394.375
8,LAS,310.4
8,MIN,384.4166666666667
8,NYL,318.0
8,PHO,431.2692307692308
8,SAC,371.0416666666667
8,SAS,395.1
8,SEA,355.4642857142857
8,WAS,313.06666666666666
9,ATL,305.64285714285717
9,CHI,367.0769230769231
9,CON,369.0
9,DET,270.3157894736842
9,HOU,328.57142857142856
9,IND,318.8
9,LAS,343.9
9,MIN,344.7
9,NYL,369.1923076923077
9,PHO,383.64285714285717
9,SAC,333.5769230769231
9,SAS,366.125
9,SEA,341.5
9,WAS,268.15625
10,ATL,405.65384615384613
10,CHI,385.2083333333333
10,CON,361.92857142857144
10,DET,273.6388888888889
10,IND,357.4642857142857
10,LAS,446.6818181818182
10,MIN,380.96153846153845
10,NYL,423.54545454545456
10,PHO,467.2083333333333
10,SAC,343.11538461538464
10,SAS,491.6666666666667
10,SEA,368.61538461538464
10,WAS,395.0416666666667
